ubicacion_sonda,fecha_medicion,intensidad_promedio,maximo_permitido,porcentaje_promedio,latitud,longitud
Bogota_AEROCIVIL,2020-06-09,6.823916666666666,28,24.371083333333335,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-10,6.895416666666667,28,24.626666666666665,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-11,6.975666666666667,28,24.913083333333336,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-12,7.006083333333334,28,25.021583333333336,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-13,6.988416666666667,28,24.958750000000002,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-14,7.0969999999999995,28,25.346,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-15,6.902833333333334,28,24.652916666666666,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-16,6.972666666666667,28,24.9025,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-17,6.90725,28,24.668916666666668,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-18,6.87,28,24.53575,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-19,6.654166666666667,28,23.764833333333335,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-20,6.646833333333333,28,23.739083333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-21,6.559583333333333,28,23.42725,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-22,6.82325,28,24.368333333333332,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-23,6.8955,28,24.626583333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-24,6.852583333333333,28,24.473666666666666,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-25,6.897416666666667,28,24.63383333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-26,6.855833333333334,28,24.48483333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-27,6.770833333333333,28,24.181166666666666,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-28,6.653499999999999,28,23.762249999999998,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-29,6.775916666666666,28,24.2,4.69578,-74.139405
Bogota_AEROCIVIL,2020-06-30,6.7467500000000005,28,24.095916666666668,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-01,6.750333333333333,28,24.108666666666668,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-02,6.8269166666666665,28,24.381500000000003,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-03,6.819333333333334,28,24.354750000000003,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-04,6.808583333333333,28,24.31608333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-05,6.735916666666666,28,24.057583333333334,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-06,6.845833333333333,28,24.449666666666666,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-07,6.926333333333333,28,24.737000000000002,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-08,7.058166666666667,28,25.208333333333332,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-09,7.0135,28,25.048416666666665,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-10,7.097833333333333,28,25.34958333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-11,7.054166666666666,28,25.193666666666665,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-12,7.051666666666667,28,25.184666666666665,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-13,7.0281666666666665,28,25.100916666666667,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-14,7.028416666666667,28,25.101333333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-15,7.13275,28,25.47375,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-16,7.090083333333333,28,25.3215,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-17,7.10525,28,25.375666666666667,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-18,7.121333333333333,28,25.433583333333335,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-19,7.030083333333334,28,25.107916666666664,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-20,7.0584999999999996,28,25.209,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-21,7.147833333333334,28,25.52808333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-22,7.134166666666667,28,25.47908333333333,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-23,7.094083333333333,28,25.335916666666666,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-24,7.1105833333333335,28,25.394833333333334,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-25,7.16575,28,25.5915,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-26,6.927083333333333,28,24.73975,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-27,6.89975,28,24.642166666666665,4.69578,-74.139405
Bogota_AEROCIVIL,2020-07-28,6.904666666666667,28,24.659083333333335,4.69578,-74.139405
